Branch,Customer,Lifetime_pc,Spend,Actual,LM_P,Spend_pd,Predict A_pd,A_pd
1436,197308,0.8944444444444445,215.29655172413794,12606.770000000002,0.919639704632532,0.5980459770114943,1.175387162927441,50.42708000000001
154,259189,0.9,168.98023255813956,7649.559999999999,0.9638917632135308,0.469389534883721,0.9597278487781863,30.59824
1409,129356,0.9277777777777778,119.26685878962533,4073.7,0.0151098181818181,0.3312968299711815,0.5970127371430084,16.2948
1092,71116,0.9305555555555556,1602.9103448275862,47650.880000000005,0.0,4.452528735632184,7.295130902326841,190.60352000000003
167,97177,0.9277777777777778,241.40338983050844,6851.959999999999,2.224173025166924,0.6705649717514124,2.2391000451752774,27.40784
371,127014,0.9111111111111112,2572.85748502994,58579.28,1.1786254545454542,7.146826347305389,5.498754993219684,234.31712
306,48905,0.9444444444444444,504.62470588235294,11057.33,4.330350531194298,1.401735294117647,3.8250146155870315,44.22932
166,62928,0.9111111111111112,44.53065902578795,899.5799999999999,0.254432900234436,0.1236962750716332,0.40196999377274023,3.59832
304,33041,0.8861111111111111,583.0765714285715,11373.03,4.159396571428572,1.619657142857143,4.090689758757572,45.49212
1472,102816,0.8722222222222222,116.46276923076923,1908.54,0.0,0.3235076923076923,0.4798735585840631,7.63416
481,118383,0.9472222222222222,105.96069364161849,1705.3400000000004,0.7971993217726396,0.2943352601156069,0.7270740479035722,6.821360000000001
160,28846,0.9333333333333332,1533.3136363636365,20344.41,0.0,4.259204545454546,5.6587254540381045,81.37764
122,5717,0.9111111111111112,1508.8095808383237,20019.77,5.247518542551261,4.191137724550899,5.838659301056916,80.07908
325,180069,0.8916666666666667,2224.501840490798,34660.89,29.452897633017283,6.179171779141105,16.13857030901727,138.64356
154,246888,0.8805555555555555,293.2573170731707,4405.73,3.534070991869919,0.8146036585365853,2.447254337039743,17.622919999999997
323,131895,0.8972222222222223,669.1220338983052,8326.82,2.081762366718028,1.858672316384181,3.2174124969786013,33.30728
1289,104049,0.8833333333333333,410.20183486238534,4653.879999999999,0.0,1.1394495412844037,1.4696639502072317,18.61552
101,41668,0.925,2520.9988439306358,31492.94,15.526415588018915,7.002774566473988,13.47219132905335,125.97176
503,86039,0.8944444444444445,423.3163636363637,4507.03,0.0,1.175878787878788,1.9932325306612657,18.02812
365,127205,0.925,2489.2744186046516,30083.41,16.40536449894292,6.914651162790698,15.115731750544775,120.33364
1436,18619,0.8888888888888888,391.94865671641793,3399.03,0.091133818181818,1.0887462686567164,1.1442338135362655,13.59612
154,175540,0.9388888888888888,9438.729069767443,81874.56,3.5873556363636325,26.21869186046512,18.18711212592637,327.49824
1291,35403,0.8972222222222223,737.5578947368422,6492.11,1.0752817040581253,2.0487719298245617,3.33741390969686,25.96844
156,63235,0.9416666666666668,923.7375,7560.579999999999,0.311811393939394,2.5659375,1.97236162921412,30.24232
