Branch,Customer,Recency,Lifetime_pc,Exp_buy_range,C_latency,Buys_pd,Buy_days_pd,Buy_concentration,Spend_per_buy,Spend_pd,LM_P,LM_P_2,LM_P_3,Actual,Predict Actual,Spend,Error,ML error estimate
27,16,5,0.9916666666666668,3.364485981308411,1.4861111111111112,1.2256267409470751,0.298050139275766,4.11214953271028,41.26077272727273,50.57030640668523,59.58068621051743,28.635318787878784,52.13671757575757,8869.66,12663.767586209695,18205.310306406685,3794.107586209695,0.1253469929484509
27,84,27,0.9527777777777776,20.0,1.35,0.1329639889196676,0.0526315789473684,2.5263157894736845,24.282083333333336,3.228642659279779,3.2416642686141195,0.0150773333333333,1.6177951515151514,731.72,0.0,1162.3113573407204,708.1607756616772,0.399166289141891
27,146,18,0.9666666666666668,32.72727272727273,0.55,0.064066852367688,0.0334261838440111,1.9166666666666667,227.6286956521739,14.583454038997214,37.65549324959906,57.827804848484845,43.26379272727272,367.28,4120.288656423913,5250.043454038997,3753.0086564239136,0.259312386953357
27,178,11,0.9611111111111112,5.217391304347826,2.1083333333333334,0.7869318181818182,0.1988636363636363,3.9571428571428577,7.05841155234657,5.5544886363636365,0.0,1.3105939393939392,0.274608727272727,1019.83,1296.4698981702393,1999.615909090909,276.63989817023923,0.13499615589623828
27,190,5,0.9555555555555556,6.101694915254237,0.8194444444444445,0.9479768786127168,0.1734104046242774,5.466666666666667,13.613871951219515,12.90563583815029,0.0,1.360220606060607,1.366809696969697,2837.26,2348.332369607223,4646.028901734105,488.92763039277725,0.1306130922605707
1409,194,15,0.9666666666666668,3.956043956043956,3.7916666666666665,1.067039106145251,0.2569832402234637,4.152173913043478,43.65984293193719,46.58675977653632,18.025733609615703,12.173575757575763,9.034654545454549,2782.15,4303.835893907309,16771.233519553076,1521.6858939073086,0.16269590612961918
27,290,4,1.0,1.128526645768025,3.5444444444444447,11.761772853185596,0.8587257617728532,13.696774193548388,34.90318652849741,410.523351800554,553.2122846255353,296.5244969696969,103.90072363636364,180625.45,83802.59203050453,147788.40664819945,66571.82995634856,0.1853612975001767
282,688,12,0.9472222222222222,10.285714285714286,1.1666666666666663,0.2011494252873563,0.1034482758620689,1.9444444444444444,94.81585714285714,19.072155172413797,0.0,0.0,3.6830678787878792,329.25,2495.2928579913755,6865.975862068967,2166.0428579913755,0.17308575370129664
1109,696,5,0.9555555555555556,27.692307692307693,0.1805555555555555,0.1098265895953757,0.0404624277456647,2.7142857142857144,51.35,5.639595375722544,9.9308450516728,9.237516363636365,3.6346993939393952,713.5200000000001,804.8118901745971,2030.2543352601158,91.29189017459703,0.22270142701555024
1449,705,8,0.9805555555555556,2.88,2.7777777777777777,2.3128491620111733,0.3519553072625698,6.571428571428571,27.859637681159416,64.43513966480447,62.70857225935331,30.013703030303027,0.0,4313.74,0.0,23196.65027932961,1860.224836026046,0.03856143042212491
282,718,21,0.8083333333333333,45.0,0.4666666666666667,0.140983606557377,0.0295081967213114,4.777777777777778,21.790232558139536,3.072065573770492,1.2568,4.732247272727273,3.2897139393939385,99.76,0.0,1105.943606557377,99.76,0.29336136818210623
27,721,4,0.9055555555555556,4.615384615384615,0.8666666666666667,0.4801223241590214,0.2415902140672783,1.9873417721518989,87.07611464968153,41.80718654434251,129.48779166342325,7.518193454545449,22.01275272727273,24561.71,16098.200739918575,15050.587155963303,624.1444321271192,0.23736844099745727
1109,727,5,0.9972222222222222,1.7475728155339805,2.861111111111111,3.542936288088643,0.5706371191135734,6.20873786407767,46.03772478498827,163.10872576177286,74.7415686346009,1.6212666666666629,1.0012727272727262,4244.62,46412.73306901177,58719.14127423823,42168.113069011764,0.23118564415140758
381,745,4,0.9972222222222222,5.806451612903226,0.6888888888888889,0.8444444444444444,0.1722222222222222,4.903225806451613,26.020690789473687,21.97302777777778,24.79106946801346,25.637292121212123,0.2338880000000008,2933.78,3859.089214489801,7910.290000000001,925.309214489801,0.198162603084743
381,751,4,0.9972222222222222,3.6,1.1111111111111112,0.8777777777777778,0.2777777777777778,3.16,32.01518987341772,28.10222222222222,39.47153478787879,38.471077575757576,15.467368484848482,6149.68,10798.49295062092,10116.8,4648.812950620919,0.23266428325639324
342,753,5,0.8916666666666667,9.23076923076923,0.5416666666666667,0.5325077399380805,0.1207430340557275,4.410256410256411,23.92459302325581,12.74003095975232,27.346483183788347,40.13448484848484,26.369808484848487,3937.24,4992.31977633259,4586.411145510835,1055.07977633259,0.2762332622992275
282,759,11,0.9861111111111112,6.428571428571429,1.711111111111111,0.6454293628808865,0.1578947368421052,4.087719298245615,21.700643776824037,14.00623268698061,12.022526975908663,23.6270496969697,2.4574225454545457,7224.740000000001,4934.960198853835,5042.24376731302,1675.5824892236205,0.26430698380537615
