Customer,Predicted_spend,Testing_spend,Std_dev,Training_spend,MSE,MAE,Slope,Branch,Bus_Type_spend,Bus_Type_ID,Train_spend_pd,Test_spend_pd,Predict_spend_pd,Predict_ratio,Spend_decrease,Actual_ratio
76886,2373.557719990488,4976.639999999999,11691.00247387294,99319.63716532328,114465816.00534873,7159.463668590995,-1017.7675482863166,606.0,269684.58,101,331.06545721774427,99.5328,47.47115439980976,0.143389028860802,231.53265721774423,0.476939806775352
38325,1625.1080617922878,22.0,5269.933117559634,39108.08988168609,24659417.674541064,4288.757840313149,-201.67717457890456,690.0,269684.58,101,130.3602996056203,0.44,32.502161235845755,0.2493256101295771,129.9202996056203,73.8685482632858
57477,0.0,0.0,456.17808713529615,2652.4343151510734,136217.45135931895,249.96245381675072,-78.67936551704332,305.0,269684.58,101,8.841447717170245,0.0,0.0,0.0,8.841447717170245,1.0
90266,0.0,0.0,911.1107155984791,2881.185061877097,724470.7514865801,502.8977562549115,-52.38518294321995,171.0,269684.58,101,9.60395020625699,0.0,0.0,0.0,9.60395020625699,1.0
69226,81.37201458237341,2874.94,754.1964381140905,3964.6997997145127,495605.2673596695,475.7639759657415,-44.484622031920594,171.0,269684.58,101,13.215665999048376,57.4988,1.6274402916474682,0.1231447807295262,-44.28313400095163,0.0283039001100452
80498,0.0,0.0,135.05326892324496,427.07593524869,11938.506837941011,79.20317344612069,-23.295051013564912,171.0,269684.58,101,1.4235864508289668,0.0,0.0,0.0,1.4235864508289668,1.0
83008,9275.313392553468,13593.56,7885.041932812963,156907.72728742418,55954685.26917629,5669.064040109992,-14.821707342919384,646.0,269684.58,101,523.0257576247473,271.87120000000004,185.5062678510693,0.3546790289899328,251.1545576247472,0.6823314416939688
11091,0.0,0.0,27.39265957183065,128.50645547977695,344.25566571269707,16.018028335570953,-6.3347655751865215,321.0,269684.58,101,0.4283548515992565,0.0,0.0,0.0,0.4283548515992565,1.0
74544,0.0,0.0,16.84113856549564,53.256356257467,213.14769439148984,9.55386754679408,-2.2593605684986,547.0,269684.58,101,0.17752118752489,0.0,0.0,0.0,0.17752118752489,1.0
85632,0.0,0.0,19.08688283609228,60.35802319482589,300.27901278924304,10.46205735376982,-1.829031005903815,547.0,269684.58,101,0.2011934106494196,0.0,0.0,0.0,0.2011934106494196,1.0
104916,0.0,0.0,12.379781904223286,39.14830775348204,115.1764606031554,7.022969148503444,-1.6608372986325717,82.0,269684.58,101,0.1304943591782734,0.0,0.0,0.0,0.1304943591782734,1.0
101415,0.0,0.0,12.567937914256614,39.74330930063686,137.849946254495,6.937013987020251,-0.7226056236479429,766.0,269684.58,101,0.1324776976687895,0.0,0.0,0.0,0.1324776976687895,1.0
55290,0.0,0.0,1.274954366746713,4.031759711697254,1.0639692898602628,0.7477081647147633,-0.2199141660925774,184.0,269684.58,101,0.0134391990389908,0.0,0.0,0.0,0.0134391990389908,1.0
88882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,269684.58,101,0.0,0.0,0.0,,0.0,1.0
99441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,269684.58,101,0.0,0.0,0.0,,0.0,1.0
14843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,269684.58,101,0.0,0.0,0.0,,0.0,1.0
47893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,269684.58,101,0.0,0.0,0.0,,0.0,1.0
83452,0.4451529421556928,0.0,0.6814051295672815,2.1547922187547544,0.3489382174210597,0.3865566646978225,0.0914154274623229,646.0,269684.58,101,0.0071826407291825,0.0,0.0089030588431138,1.239524456087775,0.0071826407291825,2.0
77178,1.1150717591579284,0.0,2.878417835783679,9.102356418728943,7.2307978798757215,1.588774938541779,0.1654973894314353,342.0,269684.58,101,0.0303411880624298,0.0,0.0223014351831585,0.7350218171177508,0.0303411880624298,2.0
307672,1.1866280069756494,0.0,1.509253856578448,4.772679754180997,1.4909545332634373,0.8851151544117485,0.2603279865916908,646.0,269684.58,101,0.0159089325139366,0.0,0.0237325601395129,1.4917757755727872,0.0159089325139366,2.0
77469,1.6076895578379766,0.0,2.0447955476224133,6.466211279858125,2.736778144304582,1.1991882737191433,0.3527024334468068,646.0,269684.58,101,0.021554037599527,0.0,0.0321537911567595,1.4917757755727872,0.021554037599527,2.0
70207,3.9862286722432665,0.0,10.289949156601532,32.53967634218948,92.40702863602436,5.6796525979094366,0.5916304789488996,222.0,269684.58,101,0.1084655878072982,0.0,0.0797245734448653,0.7350218171177508,0.1084655878072982,2.0
48290,8.897043262814453,0.0,13.618894413919044,43.06672556132813,139.38673543713298,7.725909555244319,1.8270732056321024,370.0,269684.58,101,0.1435557518710937,0.0,0.177940865256289,1.2395244560877747,0.1435557518710937,2.0
100665,9.833468596087917,0.0,15.052300699990758,47.59955423771763,170.27210781215058,8.539071548099649,2.019375028266809,646.0,269684.58,101,0.1586651807923921,0.0,0.1966693719217583,1.2395244560877747,0.1586651807923921,2.0
47882,17.753982656966233,0.0,27.176400978327525,85.93932569754323,555.0366030104262,15.416994185741084,3.645910787168501,370.0,269684.58,101,0.2864644189918107,0.0,0.3550796531393246,1.239524456087775,0.2864644189918107,2.0
53062,23.44068792811977,0.0,29.81384936845894,94.27966982150284,581.8029474535588,17.484593312351436,5.142527444809246,646.0,269684.58,101,0.3142655660716761,0.0,0.4688137585623955,1.4917757755727867,0.3142655660716761,2.0
83194,25.129718921919796,0.0,31.962101833669387,101.0730406006395,668.6678969187395,18.744454802300417,5.513074941853063,646.0,269684.58,101,0.336910135335465,0.0,0.5025943784383958,1.4917757755727867,0.336910135335465,2.0
73533,33.701286030678965,0.0,51.58727933620406,163.13330099374394,1999.967734997768,29.26512551160497,6.920806708825502,646.0,269684.58,101,0.5437776699791464,0.0,0.6740257206135793,1.2395244560877754,0.5437776699791464,2.0
84791,164.59077429620285,54.56,196.11427773069568,2171.070622681664,33748.50371396396,156.35500254882018,10.24680421952917,441.0,269684.58,101,7.236902075605547,1.0912,3.291815485924057,0.4548652795814726,6.145702075605548,3.0166930772764453
112102,0.0,0.0,6991.698075774105,50829.03852294005,19759901.48733092,3636.4605302146288,-1713.9554216887468,153.0,5104530.94,186,169.43012840980018,0.0,0.0,0.0,169.43012840980018,1.0
60708,0.0,483.34,16954.645941567323,73122.9796530042,238426907.0205468,9098.368312762856,-1568.1338101132728,163.0,5104530.94,186,243.743265510014,9.6668,0.0,0.0,234.076465510014,0.0
50701,11130.428115187908,15762.48,10503.939878036892,198261.67090171223,82358575.57311232,7687.815167532777,-1432.983837256224,161.0,5104530.94,186,660.8722363390409,315.2496,222.60856230375816,0.336840542034142,345.6226363390409,0.70613432119742
84925,2256.565306011109,1537.54,4285.921488975133,69211.06047713677,11440860.211665804,2644.769306160345,-785.5783815629388,402.0,5104530.94,186,230.7035349237892,30.7508,45.13130612022218,0.1956246840133199,199.9527349237892,1.467646569202173
64124,0.0,4293.139999999999,5252.663814527336,29731.79377659039,20713870.0322097,3254.3034821007523,-706.4687602856015,806.0,5104530.94,186,99.1059792553013,85.8628,0.0,0.0,13.243179255301314,0.0
55292,0.0,0.0,2893.2535949181943,28975.76027112198,3478434.002228124,1366.2356681509846,-701.1151918348392,154.0,5104530.94,186,96.5858675704066,0.0,0.0,0.0,96.5858675704066,1.0
91374,1786.717564417327,2677.7900000000004,5716.492274275644,58521.87751315266,25533636.503930703,4469.622353627593,-685.505257211864,375.0,5104530.94,186,195.07292504384225,53.555800000000005,35.73435128834654,0.1831845771539813,141.5171250438422,0.6672358789962345
79424,989.0554562650452,10747.47,3121.1438702098767,44210.51153872888,5981988.407826918,1532.2464360953284,-581.0540834230961,323.0,5104530.94,186,147.36837179576295,214.9494,19.7811091253009,0.134228999643936,-67.58102820423704,0.0920268171267326
82262,1972.9460813804376,18327.24,2915.733905644195,52565.45954989596,5144301.374089153,1914.379630626719,-551.2577809339332,323.0,5104530.94,186,175.2181984996532,366.5448,39.45892162760875,0.2251987634017756,-191.32660150034675,0.1076510200870637
76280,3188.034115110389,9295.55,3209.722626096307,64190.76067959174,6895161.537116133,1859.5300680390335,-536.7608649545771,382.0,5104530.94,186,213.9692022653058,185.911,63.760682302207776,0.2979899986875181,28.058202265305823,0.3429634733943004
18024,546.8617416839597,0.0,6534.635290768792,35525.05862304513,36282761.74673303,4710.390732699541,-510.3238185632199,159.0,5104530.94,186,118.4168620768171,0.0,10.937234833679195,0.0923621403393057,118.4168620768171,2.0
242128,0.0,0.0,1851.657399698212,19069.14676658243,1386447.908695171,924.2796448141264,-453.8486871829955,441.0,5104530.94,186,63.56382255527477,0.0,0.0,0.0,63.56382255527477,1.0
69606,84.67600686573321,0.0,2585.787119188924,24993.182718053155,4494497.637044104,1883.787699035912,-429.6817548390502,441.0,5104530.94,186,83.31060906017719,0.0,1.6935201373146642,0.020327784857405,83.31060906017719,2.0
90362,0.0,440.84,1970.248972109148,18373.70484629415,2301602.215373411,1134.51921269459,-380.1260868192133,365.0,5104530.94,186,61.2456828209805,8.8168,0.0,0.0,52.4288828209805,0.0
291648,0.0,0.0,1791.6805839510207,8936.675074860825,1839976.757522141,1073.7032761768955,-356.6053120653687,314.0,5104530.94,186,29.788916916202748,0.0,0.0,0.0,29.788916916202748,1.0
105865,987.5971450925636,30.97,3018.0333729438453,30392.10984744748,7212612.975321402,2078.233028361876,-345.5447909151881,1289.0,5104530.94,186,101.30703282482492,0.6194,19.751942901851272,0.1949710928362234,100.68763282482492,31.888832582904865
260448,183.35435148990908,551.91,1541.0662677994353,21175.51228500472,1231120.593918934,974.659880857806,-331.43875958036654,1409.0,5104530.94,186,70.58504095001572,11.0382,3.6670870297981817,0.0519527506174431,59.54684095001572,0.3322178461885254
65948,376.6590110445106,2943.0,1721.3802113749496,20870.369813210276,1972509.2526322468,1168.4039607075704,-290.10459895651485,156.0,5104530.94,186,69.56789937736758,58.86,7.533180220890211,0.108285290892957,10.707899377367582,0.1279847132329292
