Span,Purchases s1,Purchase days s1,Spend s1,MAE s1,unadjPredicted s1,Predicted s1,Intercept s1,Coef s1,MAE percent s1,Coef s1 by Spend s1,Purchases s2,Purchase days by training s2,Spend s2,MAE s2,unadjPredicted s2,Predicted s2,Intercept s2,Coef s2,MAE percent s2,Coef s2 by Spend s2,Purchases s3,Purchase days s3,Purchase days by training s3,Spend s3,MAE s3,unadjPredicted s3,Predicted s3,Intercept s3,Coef s3,MAE percent s3,Coef s3 by Spend s3,Actual,Customer,LASSO predicts Actual,LASSO error
0.9944444444444444,157,38,3505.52,182.43156363636368,1295.179030303031,1173.132925727488,405.3750909090909,-12.182909090909089,0.0520412274459605,-0.0034753500453311,99,0.1916666666666666,2362.71,122.1,3277.857272727274,2968.981277879383,3.782363636363641,24.57436363636364,0.0516779460873319,0.0104009225154012,157,38,0.2111111111111111,3505.52,182.43156363636368,1295.179030303031,1173.132925727488,405.3750909090909,-12.182909090909089,0.0520412274459605,-0.0034753500453311,1043.64,91821,3107.401340536273,2063.7613405362727
0.9388888888888888,136,38,3451.41,172.81944242424245,3640.143919191919,3288.049822623738,238.68109090909093,23.65775757575757,0.0500721277461218,0.0068545196240833,94,0.2166666666666666,2663.18,85.11818181818184,4186.159636363638,3781.2519931562674,-36.64981818181816,34.21218181818182,0.0319611073296517,0.0128463648037991,136,38,0.2111111111111111,3451.41,172.81944242424245,3640.143919191919,3288.049822623738,238.68109090909093,23.65775757575757,0.0500721277461218,0.0068545196240833,1657.55,24129,3161.7514095748247,1504.2014095748248
0.9333333333333332,189,38,4997.380000000001,404.0270181818181,2678.194787878788,2476.1192611475544,521.4623636363635,-4.827636363636365,0.0808477678667257,-0.0009660334742677,79,0.1583333333333333,2825.44,59.44197575757576,1918.7272727272732,1773.9551948915764,-37.77963636363636,17.11169696969697,0.021038130612427,0.0060562945840991,189,38,0.2111111111111111,4997.380000000001,404.0270181818181,2678.194787878788,2476.1192611475544,521.4623636363635,-4.827636363636365,0.0808477678667257,-0.0009660334742677,4048.42,9760,5870.028628787331,1821.6086287873313
0.9055555555555556,124,38,8020.119999999999,417.4978424242424,4241.500808080809,3776.8489207577095,840.7190909090908,-8.601575757575747,0.0520563086866832,-0.0010724996331196,89,0.2416666666666666,5116.44,192.60808484848485,9403.670363636367,8373.508310170906,-106.57618181818184,78.50648484848485,0.0376449415704053,0.0153439666737975,124,38,0.2111111111111111,8020.119999999999,417.4978424242424,4241.500808080809,3776.8489207577095,840.7190909090908,-8.601575757575747,0.0520563086866832,-0.0010724996331196,1787.62,226931,5868.321193208743,4080.7011932087435
0.8444444444444444,242,38,11529.13,860.2633212121211,7284.912404040403,6534.5546425252505,1127.9865454545454,5.539212121212118,0.0746164993552957,0.000480453609354,208,0.275,10370.190000000002,698.5538303030303,23238.060727272736,20844.50288303584,-43.62436363636391,179.02030303030307,0.0673617195348426,0.0172629723303336,242,38,0.2111111111111111,11529.13,860.2633212121211,7284.912404040403,6534.5546425252505,1127.9865454545454,5.539212121212118,0.0746164993552957,0.000480453609354,661.5799999999999,69009,5142.405242083549,4480.825242083549
0.8444444444444444,225,38,18552.78,1789.6171272727272,20321.43975757575,0.0,1231.8512727272728,138.53927272727267,0.0964608607051195,0.0074673053163608,150,0.1916666666666666,14430.670000000002,595.2792727272727,28485.55454545456,0.0,-638.2992727272728,259.3200606060606,0.0412509795267491,0.0179700638020314,225,38,0.2111111111111111,18552.78,1789.6171272727272,20321.43975757575,0.0,1231.8512727272728,138.53927272727267,0.0964608607051195,0.0074673053163608,0.0,188888,8434.257741870708,8434.257741870708
0.9,202,38,18389.47,1513.0437575757578,-3891.2585656565648,-3472.018055235288,2886.085818181818,-232.6975151515152,0.0822777251098458,-0.0126538456601258,91,0.1833333333333333,7544.950000000001,262.6397818181818,9595.168727272732,8561.394341190178,-94.42836363636376,79.12896969696972,0.0348100095849782,0.0104876731717201,202,38,0.2111111111111111,18389.47,1513.0437575757578,-3891.2585656565648,-3472.018055235288,2886.085818181818,-232.6975151515152,0.0822777251098458,-0.0126538456601258,1300.38,23144,10235.497646477172,8935.11764647717
0.95,186,38,3390.91,131.0930909090909,3614.585898989899,3259.614359051611,231.90236363636365,23.81969696969697,0.0386601504932572,0.0070245736305879,135,0.2166666666666666,2559.96,75.87227878787878,4418.095454545456,3984.2150071247393,-35.11472727272731,35.864606060606064,0.02963807199639,0.014009830646028,186,38,0.2111111111111111,3390.91,131.0930909090909,3614.585898989899,3259.614359051611,231.90236363636365,23.81969696969697,0.0386601504932572,0.0070245736305879,751.4800000000001,5579,2275.6993181788775,1524.2193181788775
0.8888888888888888,108,38,7557.389999999999,359.2176484848485,8868.223838383838,8048.463670283215,461.7381818181819,65.33351515151514,0.047531971816308,0.0086449839364536,82,0.2416666666666666,6196.48,166.87115151515152,12280.236363636366,11145.076853769448,-140.2581818181818,102.5951515151515,0.0269299911425763,0.0165570051892609,108,38,0.2111111111111111,7557.389999999999,359.2176484848485,8868.223838383838,8048.463670283215,461.7381818181819,65.33351515151514,0.047531971816308,0.0086449839364536,3701.7,64074,4265.851486452294,564.1514864522942
0.9333333333333332,192,38,11645.61,1238.9218303030304,28175.6115959596,25672.54271061649,-272.83254545454565,319.420787878788,0.1063853100269569,0.0274284290714516,178,0.2833333333333333,10886.8,243.9330545454546,11672.770545454552,10635.783339034278,-181.7392727272729,100.82139393939396,0.0224063135673893,0.0092608841844613,192,38,0.2111111111111111,11645.61,1238.9218303030304,28175.6115959596,25672.54271061649,-272.83254545454565,319.420787878788,0.1063853100269569,0.0274284290714516,4525.34,18581,11345.240356484956,6819.900356484955
