Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,LASSO_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_LASSO,LASSO,Unseasoned_LM,Season_LM
48566,7056.3467272727285,0.0040606060605664,0.0040606060605664,70959.85,70564.05606060608,65761.32411323127,69096.62124438406,86008.3,15444.243939393928,20246.975886768734,16911.67875561594,0,1,0
45311,131.8707272727273,0.0047272727272733,0.0047272727272733,1318.9199999999998,1319.3927272727274,1294.072363619836,2265.6129023953054,250.33,1069.0627272727274,1043.7423636198362,2015.2829023953054,0,0,1
69854,61.91236363636363,0.0056969696969711,0.0056969696969711,619.38,619.949696969697,617.1098688572615,1691.3436569121714,708.6500000000001,88.70030303030308,91.54013114273857,982.6936569121713,0,1,0
67921,209.35690909090908,-0.034424242424243,0.034424242424243,2092.02,2088.577575757576,1827.3594644316768,2860.5732955863077,875.5999999999999,1212.9775757575762,951.7594644316769,1984.9732955863078,0,0,1
55763,26.29381818181819,-0.0441818181818183,0.0441818181818183,260.95,256.5318181818182,0.0,1706.0346756833478,0.0,256.5318181818182,0.0,1706.0346756833478,0,0,1
54743,1801.7694545454544,-0.0652121212121221,0.0652121212121221,18014.76,18008.238787878785,17375.207652405188,12546.367223687988,11117.1,6891.138787878785,6258.107652405188,1429.267223687988,1,0,0
70771,20.670727272727277,0.0933939393939394,0.0933939393939394,210.91000000000005,220.24939393939397,206.53480407963343,1609.2449591501008,62.92,157.32939393939398,143.61480407963342,1546.3249591501008,0,0,1
89599,2.884000000000001,-0.1453333333333334,0.1453333333333334,22.3,7.766666666666662,8.507373833823078,2285.456511319482,5.0,2.766666666666662,3.5073738338230775,2280.456511319482,0,1,0
44883,599.0481818181819,0.2015151515151494,0.2015151515151494,5999.549999999999,6019.701515151514,6107.996660346385,6278.8969803619275,5897.64,122.06151515151396,210.35666034638507,381.25698036192716,0,1,0
119455,6.593818181818181,-0.2221818181818181,0.2221818181818181,55.94,33.72181818181817,33.58301970586714,1207.5261314923573,38.89,5.168181818181829,5.306980294132863,1168.6361314923572,0,1,0
10668,83.71690909090908,-0.2244242424242414,0.2244242424242414,827.07,804.6275757575758,814.3918204511303,2712.1638798851764,1104.2,299.5724242424243,289.8081795488697,1607.9638798851763,0,0,1
85089,18.53454545454546,-0.2347878787878791,0.2347878787878791,184.73,151.3012121212121,145.024740351961,2076.745765279431,167.35,16.04878787878789,22.325259648039008,1909.395765279431,0,1,0
51692,135.27872727272728,-0.2379393939393936,0.2379393939393936,1342.08,1318.2860606060608,1268.2119072295063,2814.0808584147435,795.06,523.2260606060609,473.1519072295064,2019.0208584147435,0,0,1
90344,17.482727272727274,0.4000606060606048,0.4000606060606048,192.83,232.83606060606047,255.09915011316176,1963.0247747365302,822.44,589.6039393939395,567.3408498868383,1140.58477473653,0,0,1
75357,32.920909090909085,-0.4004242424242429,0.4004242424242429,311.18999999999994,271.1475757575756,0.0,1205.7782415215825,0.0,271.1475757575756,0.0,1205.7782415215825,0,0,1
78121,46.62563636363635,-0.4163636363636354,0.4163636363636354,447.52,405.8836363636364,398.4907923355174,1333.5497525356132,55.720000000000006,350.1636363636364,342.7707923355174,1277.8297525356131,0,0,1
54081,1389.8958181818182,-0.4235151515151564,0.4235151515151564,14119.62,13837.548484848485,13031.202732895064,14299.962658125203,3821.41,10016.138484848485,9209.792732895065,10478.552658125203,0,0,1
55279,116.5023636363636,-0.426969696969694,0.426969696969694,1145.81,1103.1130303030304,1158.0016101372255,1477.5493511111763,1087.84,15.27303030303051,70.16161013722558,389.7093511111764,0,1,0
75769,103.76545454545452,0.4301212121212124,0.4301212121212124,1118.61,1100.0221212121212,1082.5054659011928,3071.3366068316373,1350.11,250.0878787878787,267.6045340988071,1721.2266068316374,0,1,0
17351,85.41290909090908,0.4389090909090897,0.4389090909090897,873.88,917.7709090909088,651.9840073358939,2547.1212755926554,163.92,753.8509090909089,488.06400733589396,2383.2012755926553,0,0,1
67283,69.03563636363639,-0.4530303030303036,0.4530303030303036,669.9699999999999,624.6669696969699,649.1449351455672,2373.9114696647466,481.34,143.3269696969699,167.80493514556719,1892.5714696647467,0,1,0
125154,93.34672727272726,-0.4926060606060587,0.4926060606060587,911.3,862.0393939393941,842.4023057747332,1237.0383437393375,71.14,790.8993939393941,771.2623057747332,1165.8983437393374,0,0,1
114915,46.09836363636363,0.5350303030303044,0.5350303030303044,485.06,538.5630303030304,594.6547209221578,1213.1774501453383,2409.71,1871.1469696969698,1815.0552790778422,1196.5325498546617,1,0,0
72871,3.6310909090909087,0.5350909090909091,0.5350909090909091,60.39,113.89909090909092,108.08232145697498,2388.718684234156,1.99,111.90909090909092,106.09232145697499,2386.7286842341564,0,0,1
9867,380.5172727272728,0.5632727272727279,0.5632727272727279,3830.52,3886.847272727273,4257.535980781108,2838.1840075848067,240.0,3646.847272727273,4017.5359807811083,2598.1840075848067,1,0,0
63874,0.7043636363636367,0.5803636363636363,0.5803636363636363,33.160000000000004,91.19636363636364,0.0,1623.4136812972301,0.0,91.19636363636364,0.0,1623.4136812972301,0,0,1
17593,346.22,-0.5993333333333372,0.5993333333333372,3435.23,3375.296666666666,3165.4965040690886,4778.841763171762,2798.87,576.4266666666663,366.6265040690887,1979.9717631717622,0,0,1
30733,11.489454545454544,0.6094545454545456,0.6094545454545456,142.32,203.26545454545453,184.0401801694236,1407.2149859210494,76158.94,75955.67454545455,75974.89981983058,74751.72501407895,1,0,0
