Branch,Bus_Type_ID,Customer,Training_spend,Predicted_spend,Testing_spend,Intercept,Slope,Churn_time,Error_slope_ratio,ML_predicts
363,142,157117,23479.21518182204,3835.3645337273374,15353.81,3278.612665387497,-206.8202549345097,11.342616029865717,-1.89897256624526,18908.262
301,142,72769,31452.201346172773,15907.065342219372,7.8,3834.274532119287,-153.123199444891,20.55699434390377,-4.2221121963772665,24071.807
156,142,266328,53689.7661321254,43841.11305678105,38193.380000000005,5804.2466402284845,-96.72667267020994,55.35027436301587,-6.1514798180685375,40521.074
161,142,18316,19118.64196861285,15500.708095990414,1058.37,2071.7849670131086,-35.537948922627464,53.10733880170236,-7.254158564566034,14624.772
324,142,61011,9581.857358032445,6629.610243247838,3651.27,1088.9101732901058,-29.04987499708037,33.04088744149118,-2.578422306216338,7228.315
304,142,110025,5147.509928486572,3422.4847631508383,1953.65,591.1516169312844,-16.97791646280604,30.27947016756807,-3.4327723968076933,4165.2837
303,142,92117,2642.641684061793,2388.424385832988,1950.17,275.45181572972416,-2.486143849676638,132.13208420308965,-13.811156739034358,2313.9915
363,142,71611,782.9789609997894,856.0788682592838,25.97,75.02232561031398,0.7279045532588788,78.29789609997894,12.888027326165478,1064.8927
1349,142,126471,501.4167033236133,657.9644526556029,208.08,43.17146657707322,1.5489341678418027,25.070835166180665,7.00405380999612,12.575014
301,142,57275,3726.586459291051,3937.688656650711,1459.09,363.1436257670318,2.1144489249051808,186.3293229645525,27.604367146064497,3082.7578
301,142,23202,371.8711893780626,723.419074019132,4701.900000000001,21.563269936620166,3.471966444708021,12.395706312602089,2.1725633451520685,1092.9152
766,142,82268,350.7661496790412,710.8656213345918,240.59,19.07385230739926,3.556169480112191,8.76915374197603,1.6276823825248337,463.00256
301,142,91368,104.94055414182952,556.040380030536,0.0,-9.540050376529956,4.452023509047312,2.6235138535457376,0.6461818787370653,935.50555
1349,142,100873,5558.630564179986,6041.237693776121,2465.29,534.2228879517602,4.808926325830784,111.17261128359974,13.7607730271048,3979.4812
363,142,279389,9575.743033375962,10061.07052004559,2148.01,935.6608343132888,4.869659783179457,191.5148606675193,31.72830084231347,7550.0044
1409,142,111630,152.90367070530107,782.1854549577822,415.4999999999999,-12.657347916956034,6.210603330552476,2.548394511755017,0.4984515540129894,110.1792
