Branch,Customer,Lifetime_pc,Spend,Actual,LM_P,Spend_pd,Predict A_pd,A_pd
1349,64124,0.7944444444444444,44329.15479452054,6212.52,167.44194404981317,123.1365410958904,139.42288484890037,24.85008
101,278811,0.7638888888888888,85715.48387096774,37948.74,427.5504298624959,238.09856630824373,285.087717427376,151.79496
1109,270150,0.8583333333333333,19112.14368932039,4160.700000000001,78.42226026949105,53.08928802588997,68.84354081413555,16.6428
101,45422,0.7611111111111111,22892.618571428575,51533.45999999999,280.2275257662337,63.59060714285715,182.55951392481597,206.13384
166,14078,0.6222222222222222,971.2274678111588,656.51,5.770157575757577,2.697854077253219,4.752130122338004,2.62604
1109,282688,0.6888888888888889,58726.94342629483,72276.51999999999,480.1883884341422,163.13039840637452,345.66943096962586,289.10608
168,54083,0.8388888888888889,6552.401273885351,6533.15,47.53401083960628,18.20111464968153,34.36632368804081,26.1326
370,34191,0.85,543.8300319488818,236.45,2.730077245812761,1.510638977635783,2.3520335383906383,0.9458
345,66316,0.825,202.72131147540983,0.0,0.6667640655737708,0.5631147540983606,0.7234270308758155,0.0
1572,291489,0.5444444444444444,16932.530769230772,6859.06,83.53034181818181,47.0348076923077,64.50355888134911,27.43624
1472,65997,0.825,692.6376237623763,1391.9600000000005,7.863927685568555,1.923993399339934,5.365770952658483,5.567840000000001
161,179668,0.4,2132.4078947368425,5.8,7.10309696969697,5.923355263157895,8.076816785502238,0.0232
155,280608,0.7194444444444444,1309.9015384615388,568.25,6.625635058275056,3.6386153846153855,5.641200661150646,2.273
153,44314,0.6777777777777778,966.9857142857143,384.21,4.752415238095236,2.6860714285714287,4.301990766331298,1.53684
375,69231,0.8055555555555556,352.22540716612383,0.0,1.1744343310630736,0.9784039087947884,1.3128134461909697,0.0
162,74978,0.8194444444444444,773.120792079208,251.8,3.585230814281427,2.1475577557755776,3.060636454330359,1.0072
166,87177,0.7972222222222223,3403.9745819398,316.9,12.638907339616903,9.455484949832778,11.165190140232752,1.2675999999999998
505,290033,0.5805555555555556,11691.904147465439,1907.29,46.73006787878786,32.47751152073733,40.29986315055519,7.629160000000001
304,96141,0.7916666666666666,29799.367474048442,31896.25,227.62681508398867,82.77602076124568,172.27702714753372,127.585
1452,51260,0.7694444444444445,4607.43829787234,804.77,18.69034250934881,12.798439716312055,16.35819721530141,3.21908
156,143217,0.8638888888888889,3253.4555555555553,781.6899999999999,14.073068585110365,9.037376543209875,12.193654261215514,3.12676
666,45694,0.7555555555555555,2900.625270758123,6316.36,35.02769743791709,8.057292418772564,22.071373303612614,25.26544
1572,25430,0.7666666666666667,129.4930693069307,31.32,0.5612992115211519,0.3597029702970297,0.6553512009176297,0.12528
1409,118232,0.475,876.4380952380955,240.27,3.916568484848485,2.434550264550265,3.405151310905573,0.96108
155,89650,0.8555555555555555,4562.330097087379,1990.9300000000003,23.383693340394235,12.673139158576053,17.614718604109378,7.963720000000001
166,66545,0.7083333333333334,141.27773851590104,131.35000000000002,1.0030772014134277,0.3924381625441696,0.8967121848375725,0.5254000000000001
324,67900,0.8388888888888889,224.91842900302117,0.0,0.7613302748329212,0.624773413897281,1.3871703916437093,0.0
1092,276150,0.7888888888888889,5966.0096885813155,1518.34,26.311719559609944,16.5722491349481,21.283783976202923,6.07336
153,69157,0.8083333333333333,446.95646687697155,60.36,1.7589816529968454,1.241545741324921,1.8024335118990533,0.24144
1291,271289,0.8611111111111112,23569.495268138802,254.78,81.05291134384858,65.47082018927445,77.43512568913071,1.01912
1092,282708,0.6777777777777778,3900.519183673469,1638.1799999999998,19.826904242424245,10.83477551020408,16.692201803398767,6.552719999999999
1436,288532,0.6055555555555555,19494.290582959642,3409.07,80.30676242424244,54.150807174887895,81.76362522888844,13.63628
166,304728,0.4027777777777778,1922.85,790.2599999999999,9.73758909090909,5.34125,10.25561628469548,3.1610399999999994
153,155557,0.7111111111111111,4742.1065693430655,307.79,17.47985365184694,13.172518248175182,20.601390948627188,1.2311599999999998
666,72700,0.875,849.9578313253011,487.38,4.866186637458928,2.360993975903614,4.259945845438895,1.94952
160,291109,0.5805555555555556,41306.72727272727,3083.6,154.257096969697,114.74090909090908,160.62518711981988,12.3344
101,71341,0.8194444444444444,1324.3183946488296,251.74,5.562307483125571,3.67866220735786,5.108538402466564,1.00696
547,80090,0.75,2430.5739130434786,1953.97,16.178185436978485,6.751594202898552,12.629350626811,7.81588
1092,88606,0.7527777777777778,1132.2197802197802,909.24,7.545655668775669,3.145054945054945,7.892154958367296,3.63696
1434,129720,0.6861111111111111,1727.9333333333334,102.6,6.426929966329967,4.799814814814815,5.984627522294715,0.4104
507,61259,0.8611111111111112,3289.8541935483877,3083.76,23.804415343108506,9.138483870967743,16.47149283879337,12.33504
926,54625,0.7138888888888889,10098.760754716983,2137.2,43.86090984562608,28.052113207547173,38.551606380121,8.5488
526,176380,0.8666666666666667,3171.8620253164554,177.74,11.803246643651706,8.810727848101266,10.50981862687598,0.71096
403,290308,0.4666666666666667,3094.9411764705883,370.1999999999999,12.311309090909086,8.597058823529412,13.27481268236046,1.4807999999999997
505,102616,0.7,4973.800754716981,4053.77,33.62630419668382,13.816113207547168,24.123124443771665,16.21508
365,53280,0.7166666666666667,1889.0036900369005,646.65,9.22217395504864,5.247232472324724,7.878190613853248,2.5866
161,95036,0.85,2501.7936305732483,1230.17,13.718782045165026,6.949426751592356,10.976784564601793,4.92068
1092,70424,0.8444444444444444,536.5426829268293,79.55000000000001,2.2060164552845527,1.4903963414634147,2.03246503714483,0.3182
224,69172,0.6555555555555556,462.9291828793774,0.0,1.6316499280745191,1.2859143968871594,1.9701792244846947,0.0
766,283669,0.6805555555555556,4386.578486055777,2968.37,27.351795668236143,12.184940239043826,22.58343415607439,11.87348
162,114436,0.8638888888888889,40.97804154302668,0.0,0.1447727420196025,0.1138278931750741,0.2187469369088327,0.0
547,294168,0.4833333333333333,7481.396685082875,606.4699999999999,28.87670787878788,20.78165745856354,35.98978445443864,2.42588
101,290068,0.5916666666666667,7747.757746478873,2931.36,39.18860242424242,21.521549295774648,35.63355927308276,11.72544
1069,95465,0.6194444444444445,6790.076923076922,1710.3300000000002,30.97315757575757,18.861324786324783,30.147534873428867,6.8413200000000005
1433,104120,0.4666666666666667,1565.877966101695,0.0,5.588723636363636,4.3496610169491525,8.167428402276562,0.0
