Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff,percent_error
71914,98.89963636363647,73.83696969696967,73.83696969696967,4677.83,11695.356969696966,13394.513765938074,6073.33063808877,949.45,10745.906969696965,12445.063765938074,5123.88063808877,0,0,1,6.396682961808173
85398,2489.315818181819,73.8404848484848,73.8404848484848,28215.980000000003,35600.02848484849,33102.118046140546,24735.225625973566,23930.42,11669.60848484849,9171.698046140547,804.8056259735677,0,0,1,1.0336310698255011
114527,739.5479999999998,73.90733333333334,73.90733333333334,10860.22,18112.04333333333,17107.25433891935,10660.513998150436,20107.58,1995.5366666666705,3000.325661080653,9447.066001849566,1,0,0,0.5301738945288511
71098,410.6785454545454,73.97321212121211,73.97321212121211,7435.579999999998,14832.90121212121,14857.993279810347,8078.1247711764845,12577.57,2255.331212121211,2280.4232798103476,4499.445228823515,1,0,0,0.6422643460681582
75194,8177.679636363636,-74.01569696969693,74.01569696969693,78486.84,71044.52030303031,71534.48211718538,63805.96602316109,72367.73000000001,1323.2096969697013,833.2478828146268,8561.76397683892,0,1,0,0.8816908589389371
98550,517.984,-74.062,74.062,1882.05,0.0,0.0,1481.869437864927,2052.52,2052.52,2052.52,570.650562135073,0,0,1,0.7219756386612198
94435,-101.34163636363635,74.0750303030303,74.0750303030303,2319.96,9727.46303030303,9511.743258330802,3793.8644533587103,1487.47,8239.99303030303,8024.273258330802,2306.39445335871,0,0,1,2.550548551136299
82275,1189.663090909091,-74.07890909090911,74.07890909090911,8563.080000000002,1586.4609090909075,1566.9718134764223,5913.681551120097,17841.08,16254.619090909095,16274.10818652358,11927.398448879905,0,0,1,0.3314643256529367
73863,5409.883818181818,-74.10018181818188,74.10018181818188,51211.27,43354.31181818181,42997.684934124,40956.27873593336,56525.64,13171.328181818186,13527.955065875998,15569.36126406664,1,0,0,0.7245610794664751
50838,1356.015090909091,-74.17157575757575,74.17157575757575,10313.77,2858.517272727274,2670.2771165405,7223.813460306108,3735.24,876.7227272727259,1064.9628834594996,3488.5734603061082,1,0,0,1.9339623318196713
39226,1272.898,74.24199999999999,74.24199999999999,16069.87,23494.07,23740.17190303204,15278.847900838833,17479.43,6014.639999999999,6260.741903032038,2200.582099161167,0,0,1,0.8741044702738495
5614,2356.3123636363634,-74.28696969696968,74.28696969696968,20220.21,12791.513030303033,13786.026549372731,15684.181441169905,48943.560000000005,36152.046969696974,35157.53345062728,33259.378558830096,0,0,1,0.3204544467376281
71323,351.12636363636364,74.42036363636365,74.42036363636365,6860.18,14302.216363636364,14241.208332903449,7592.917216805217,2550.04,11752.176363636365,11691.16833290345,5042.877216805217,0,0,1,2.9775678878783145
116716,2220.473272727273,-74.42872727272726,74.42872727272726,18930.85,11412.56727272728,11415.299591764362,14384.519986501233,13975.9,2563.33272727272,2560.6004082356376,408.61998650123314,0,0,1,1.0292374721127966
100879,121.72618181818189,74.45951515151515,74.45951515151515,4598.700000000001,12013.891515151516,11741.113861271231,5669.598397873409,4519.37,7494.521515151516,7221.743861271231,1150.2283978734094,0,0,1,1.2545107831121174
14172,3444.367272727273,74.52060606060603,74.52060606060603,37944.65,45249.1606060606,44898.038016652674,33232.76224993939,39750.96000000001,5498.200606060593,5147.078016652667,6518.197750060615,0,1,0,0.8360241425600636
64444,1061.5085454545456,-74.5227878787879,74.5227878787879,7261.559999999999,836.1754545454542,862.5276886179117,4964.563804249163,3420.2,2584.0245454545457,2557.672311382088,1544.363804249163,0,0,1,1.4515419578530973
74013,922.3845454545452,74.55454545454546,74.55454545454546,12578.8,20034.254545454543,19291.426539738222,12183.185892363235,11443.07,8591.184545454544,7848.356539738223,740.1158923632356,0,0,1,1.0646780883419602
59194,258.8260000000001,74.59266666666666,74.59266666666666,5944.93,13404.196666666669,13136.60927400804,6794.592086088078,7113.650000000001,6290.546666666668,6022.95927400804,319.0579139119227,0,0,1,0.9551484942452999
7463,3290.072727272728,74.62872727272722,74.62872727272722,36259.02,43721.89272727273,41890.69211364522,31553.430067427562,29237.520000000004,14484.372727272726,12653.172113645218,2315.910067427558,0,0,1,1.0792102089174307
111564,697.7201818181818,-74.77115151515152,74.77115151515152,3612.500000000001,0.0,0.0,2542.5524752085294,2934.18,2934.18,2934.18,391.6275247914705,0,0,1,0.8665291410917291
115846,177.95254545454554,74.82254545454546,74.82254545454546,5146.539999999999,12628.794545454548,13461.567678448202,6375.033823226018,1907.2,10721.594545454547,11554.367678448201,4467.8338232260185,0,0,1,3.342614211003575
51503,387.03818181818167,74.83484848484851,74.83484848484851,7984.0,14721.434848484849,14780.890402601326,8397.714602135757,5018.389999999999,9703.04484848485,9762.500402601327,3379.3246021357572,0,0,1,1.673388198632581
61192,-38.81109090909087,74.84024242424242,74.84024242424242,3930.46,10463.72424242424,11157.804565605618,5134.676536590794,2331.08,8132.64424242424,8826.724565605618,2803.596536590794,0,0,1,2.202702840138817
118747,-69.42109090909088,74.96157575757576,74.96157575757576,2679.0600000000004,10175.217575757575,10728.147229654864,4275.317289072647,10430.66,255.44242424242475,297.48722965486377,6155.3427109273525,1,0,0,0.40987984356432355
120836,747.8865454545455,-75.05345454545457,75.05345454545457,4101.46,0.0,0.0,2842.2615554706135,2644.73,2644.73,2644.73,197.5315554706135,0,0,1,1.0746887415617525
105096,-136.80127272727273,75.08072727272727,75.08072727272727,2010.62,9518.692727272726,0.0,1560.676695001086,0.0,9518.692727272726,0.0,1560.676695001086,0,1,0,inf
18201,1646.894,-75.12333333333335,75.12333333333335,13088.39,5576.056666666665,5498.689414051827,9532.200905929027,12411.95,6835.893333333336,6913.260585948174,2879.749094070974,0,0,1,0.7679857641973281
90073,4259.748181818182,75.23218181818186,75.23218181818186,46332.99,53506.14818181819,54091.318197281376,40349.56928595183,52370.93,1135.2181818181925,1720.388197281376,12021.360714048169,1,0,0,0.7704573756080297
50695,819.6027272727274,-75.24060606060607,75.24060606060607,4810.199999999999,67.19666666666672,70.0561967391145,3291.7366778694413,1028.13,960.9333333333334,958.0738032608856,2263.6066778694412,0,1,0,3.2016735995150816
