Customer,Recency,Lifetime_pc,Exp_buy_range,C_latency,Tr_range_name,Buys_pd,Buy_days_pd,Buy_concentration,Spend_per_buy,Spend_pd,LM_Int_pd,LM_Coef_pd,LM_MAE_pd,LM_Int_spend,LM_Coef_spend,LM_MAE_spend,LM_P,Tr_range_name_2,Buys_pd_2,Buy_days_pd_2,Buy_concentration_2,Spend_per_buy_2,Spend_pd_2,LM_Int_pd_2,LM_Coef_pd_2,LM_MAE_pd_2,LM_Int_spend_2,LM_Coef_spend_2,LM_MAE_spend_2,LM_P_2,Tr_range_name_3,Buys_pd_3,Buy_days_pd_3,Buy_concentration_3,Spend_per_buy_3,Spend_pd_3,LM_Int_pd_3,LM_Coef_pd_3,LM_MAE_pd_3,LM_Int_spend_3,LM_Coef_spend_3,LM_MAE_spend_3,LM_P_3,Changing_P,Mean_P,Median_P,Actual,Branch,Model_name,P-A / S,A_pd,Ridge model,abs Ridge model,abs P-A / S,Training,Target,Predict Actual,Spend,m,ML_Error
753,11,0.8194444444444444,10.909090909090908,1.0083333333333333,0,0.495049504950495,0.1122112211221122,4.411764705882353,23.94953333333334,11.856204620462048,0.0196475518519593,0.0041329487787488,1.3491461546154615,0.0016571535732481,0.0003485895285255,0.1137924148413427,23.562401804980496,1,0.4900662251655629,0.1258278145695364,3.8947368421052633,28.514864864864865,13.974172185430463,-0.0515383052378085,0.0308615291992775,0.7910870559903671,-0.0036881115069944,0.0022084692237765,0.0566106561084998,38.26498181818181,2,0.6831683168316832,0.1782178217821782,3.833333333333334,30.183188405797104,20.620198019801983,-0.0557849603142132,0.0540536235441726,1.1953035703570358,-0.0027053552182496,0.0026213920687019,0.0579676087110881,32.351990303030306,-8.78958849804981,31.393124642064205,0.0022084692237765,4324.160000000001,342,M1_May_1st_2021-05-01,0.5284795603279921,17.296640000000004,0.5128719249361158,0.5128719249361158,0.5284795603279921,360,250,4370.421829711914,4268.233663366337,2,46.26182971191338
7310,43,0.825,51.42857142857143,0.836111111111111,0,0.08,0.0246153846153846,3.25,26.26538461538461,2.101230769230769,0.0053904301758847,0.0002170968425513,0.282798993006993,0.0025653679999451,0.000103318895635,0.1345873081377547,2.735978517482517,1,0.1172839506172839,0.0246913580246913,4.75,20.63578947368421,2.4202469135802467,-0.0065515283554499,0.0046196166457604,0.3395423868312757,-0.0027069669291544,0.0019087377489624,0.140292457321635,6.657289696969698,2,0.1759259259259259,0.037037037037037,4.75,20.63578947368421,3.63037037037037,0.0028142026323844,0.0067087031935516,0.5218226711560046,0.0007751833408934,0.001847939055559,0.1437381363110806,4.756295757575758,-2.0203172400932408,4.716521324009325,0.0019087377489624,1452.87,342,M1_May_1st_2021-05-01,-1.463666688853686,5.81148,-0.8402529661115068,0.8402529661115068,1.463666688853686,360,250,1125.3859759533584,756.4430769230769,2,327.4840240466415
8617,37,0.8833333333333333,30.0,1.2333333333333334,0,0.0906432748538011,0.0380116959064327,2.3846153846153846,145.62838709677422,13.200233918128657,-0.006383154856839,0.0097995797574744,1.984176218323587,-0.0004835637683717,0.0007423792501143,0.150313716456085,42.93568675101898,1,0.1520467836257309,0.0526315789473684,2.888888888888889,165.3623076923077,25.14280701754386,0.1158172957646641,0.0053033256542028,4.033878575225943,0.0046063789012837,0.0002109281453937,0.1604386722775714,23.727134545454543,2,0.131578947368421,0.043859649122807,3.0,268.2186666666667,35.29192982456141,0.5146065922381712,-0.0490015948963317,5.937176714513557,0.0145814239911593,-0.0013884645906279,0.1682304352305943,0.1345599999999999,42.80112675101898,22.26579376549117,0.0145814239911593,3319.99,342,M1_May_1st_2021-05-01,2.246606153720581,13.27996,2.5664874382709284,2.5664874382709284,2.246606153720581,360,250,2264.363054475986,4752.084210526316,2,1055.626945524014
9310,12,0.9194444444444444,12.0,1.0,0,0.2558823529411764,0.088235294117647,2.8999999999999995,36.65551724137931,9.379499999999998,0.0529789713746461,-0.0056427125930586,0.8459469875222816,0.0056483790580144,-0.0006016005749835,0.0901910536299676,0.0,1,0.2823529411764706,0.0941176470588235,3.0,23.219375,6.556058823529412,0.0569241270839886,-0.0040797944846387,0.6520523351158645,0.0086826748533265,-0.0006222937582555,0.0994579750833956,0.4627001212121213,2,0.2743362831858407,0.0884955752212389,3.1,21.6183870967742,5.93070796460177,0.1165152855993563,-0.0149094931617055,0.5318275140788415,0.0196461006501742,-0.0025139482926313,0.0896735292402063,0.0,0.0,0.1542333737373737,0.0196461006501742,8087.84,342,M1_May_1st_2021-05-01,-3.449156138386908,32.35136,-1.297628652078224,1.297628652078224,3.449156138386908,360,250,3042.776985541925,3376.6199999999994,2,5045.0630144580755
9883,5,0.9861111111111112,18.94736842105263,0.2638888888888889,0,0.2506963788300835,0.0529247910863509,4.7368421052631575,183.87844444444448,46.097660167130925,0.0231270504487774,0.0233160012380068,2.480993871866295,0.0005016968402502,0.000505795763895,0.053820386172991,117.31368129247912,1,0.329608938547486,0.0502793296089385,6.555555555555555,203.68254237288136,67.13558659217877,0.174453642570961,0.0441159641103775,6.553346876587101,0.0025985271214012,0.000657117429812,0.0976136086572983,104.92573454545456,2,0.4873949579831932,0.0672268907563025,7.25,206.96810344827588,100.87521008403364,1.2492816399286988,-0.0908121976063152,8.914311688311688,0.0123844266484103,-0.000900242958906,0.0883696963890896,4.682500363636372,112.63118092884277,75.64063873385668,0.0123844266484103,14429.32,342,M1_May_1st_2021-05-01,1.2928292038339337,57.71728,1.213990893359549,1.213990893359549,1.2928292038339337,360,250,15337.885411099738,16595.157660167133,2,908.5654110997384
9896,10,0.9555555555555556,7.826086956521739,1.2777777777777777,0,0.3931623931623931,0.1339031339031339,2.936170212765957,142.3584782608696,55.970000000000006,0.114928731762065,0.0090096645467015,2.686933402400069,0.0020533988165457,0.000160973102496,0.0480066714740051,83.76272488439955,1,0.5257142857142857,0.16,3.2857142857142856,124.70021739130436,65.55668571428572,0.1524673593073593,0.0470525444925444,3.784320831168832,0.0023257331826055,0.0007177383050999,0.0577259327547758,105.17588606060606,2,0.7264957264957265,0.2051282051282051,3.5416666666666665,117.52635294117648,85.38239316239316,0.7608967883967883,-0.0109726323059656,6.347839834239834,0.0089116357625347,-0.0001285116509336,0.0743460050617994,33.796729696969685,49.96599518742987,74.2451135473251,0.0089116357625347,50329.26,342,M1_May_1st_2021-05-01,-2.100309364223699,201.31704,-0.7286685103461703,0.7286685103461703,2.100309364223699,360,250,31136.575352118674,20149.2,2,19192.684647881328
10097,1,0.9805555555555556,8.0,0.125,0,0.9546742209631728,0.1246458923512747,7.659090909090909,40.52379821958457,38.68702549575071,0.0986000658139468,0.0019697541992159,1.0607773371104814,0.0025486597780637,5.0915111047560656e-05,0.0274194597159452,44.74737611949524,1,0.9488636363636364,0.1306818181818181,7.260869565217392,42.592694610778445,40.41465909090909,0.1280901056014692,0.0214301729415365,1.4944633608815427,0.0031693971564461,0.0005302574220243,0.0369782498355332,55.60823515151515,2,1.0598290598290598,0.1367521367521367,7.749999999999999,44.14064516129033,46.78153846153847,0.2638232323232324,0.0280050936717603,2.085620305620305,0.0056394731981748,0.0005986355855907,0.0445821230812022,37.62142060606061,7.125955513434626,45.992343959023664,0.0056394731981748,6087.109999999999,342,M1_May_1st_2021-05-01,0.5272810679574167,24.34844,0.9140533689313759,0.9140533689313759,0.5272810679574167,360,250,2346.3425327925693,13927.329178470256,2,3740.7674672074295
10103,10,0.9027777777777778,51.42857142857143,0.1944444444444444,0,0.0843373493975903,0.0240963855421686,3.5,13.675714285714289,1.1533734939759035,-4.2426390052188055e-05,0.0007632669716298,0.1780397590361445,-3.678460643822844e-05,0.0006617691282281,0.1543643580904627,3.4322932749178534,1,0.0542168674698795,0.0180722891566265,3.0,29.74777777777778,1.612831325301205,-0.0106200631402615,0.004468290273393,0.1968539612997444,-0.0065847326832384,0.0027704634720921,0.1220548970072743,6.114726060606061,2,0.0818181818181818,0.0272727272727272,3.0,29.74777777777778,2.4339090909090912,-0.0246782870022539,0.0104010518407212,0.2969603305785123,-0.0101393626797442,0.0042733937268118,0.1220096229919559,6.105029090909092,-2.6727358159912384,5.217349475477668,0.0027704634720921,681.0999999999999,342,M1_May_1st_2021-05-01,0.6137589242471725,2.7244,-0.011218351700930995,0.011218351700930995,0.6137589242471725,360,250,861.3080561039517,415.21445783132526,2,180.20805610395178
10107,3,0.9888888888888888,3.103448275862069,0.9666666666666668,0,0.8268156424581006,0.3240223463687151,2.5517241379310347,121.43175675675676,100.40167597765364,0.471034309576209,-0.0426979478208528,4.696183714237344,0.0046914984734024,-0.0004252712656943,0.0467739573917329,2.3410647272727183,1,0.8324022346368715,0.3016759776536313,2.759259259259259,80.95060402684564,67.38346368715084,0.2832835054455167,0.0202375712431578,3.2670781107160995,0.0042040508152081,0.0003003343867438,0.048484864563872,74.32874181818183,2,0.9663865546218487,0.3361344537815126,2.875,85.23269565217389,82.36773109243696,0.7719435956200663,-0.0190101858925388,5.0915673032849496,0.0093719176840473,-0.0002307965223808,0.0618150729145489,28.34842181818182,-26.007357090909096,35.006076121212125,0.0093719176840473,17797.04,342,M1_May_1st_2021-05-01,-0.6857165938948127,71.18816000000001,-0.6533307481764883,0.6533307481764883,0.6857165938948127,360,250,16984.141702981633,36144.60335195531,2,812.8982970183679
10113,2,0.9583333333333334,10.588235294117649,0.1888888888888888,0,0.2312138728323699,0.1011560693641618,2.2857142857142856,39.232,9.070982658959537,0.0252485398994069,0.000148567424868,0.4612015764582238,0.0027834404329357,1.6378316490469907e-05,0.0508436179185822,9.519460173060084,1,0.2658959537572254,0.1040462427745664,2.555555555555556,37.85652173913044,10.065895953757224,0.0634884685000292,-0.0016815165138864,0.6948308985811876,0.0063072843979011,-0.0001670508538545,0.0690282218069056,4.871103030303032,2,0.1391304347826087,0.0782608695652174,1.7777777777777777,49.819375,6.931391304347827,-0.0034777338603425,0.0136087395696091,0.5521828722002636,-0.0005017367664931,0.0019633489110725,0.0796640743473677,10.700464242424244,-1.1810040693641586,8.363675815262452,-0.0001670508538545,1505.88,342,M1_May_1st_2021-05-01,0.3853981761950669,6.02352,-0.6981322210242293,0.6981322210242293,0.3853981761950669,360,250,3963.0513609079435,3265.5537572254334,2,2457.1713609079434
